,Company Name,Recruitment Type,Company  Reqirements
200,Jsbot,On Campus,"JavaScript,ReactJavaScript"
204,Next Data Science,On Cammpus," Junior Data Scientist,Problem-Solving and Critical Thinking,JAVA,Python,C,C++,Javascript,Commuincation,Data Engineer ,ML Data Analytics Practice ,SQL"
208,"Addon Solutions Pvt. Ltd., Ahmedabad.",On Campus,"Ajax, jQuery, and MySQL,APIs, Unix/Linux, and MVC Framework Architecture,JavaScript, CSS, and HTML. [2]
2. Wordpress Developer [2]
3. iOS Developer [2]"
210,AlmaShines Technologies Pvt. Ltd,On Campus," HTML/CSS. JavaScript. HTML/CSS. JavaScript. frameworks. Backend technologies. Databases and web storage.. Git/GitHub. HTTP and REST.,JavaScript MVC frameworks (Angular JavaScript preferred)
• HTML5 and CSS3 "
211,Digitattva Technolabs,On Campus,"Ajax, jQuery, and MySQL,APIs, Unix/Linux, and MVC Framework Architecture,JavaScript, CSS, and HTML. "
215,Malay Inofotech,On Campus,"Asp.Net, C# ,VB.Net, MVC, SQL Server, Angular JavaScript, Knockout Js"
216,Atluz,On Campus,"C# and MS SQL,HTML and JavaScript, MVC or Angula"
217,CBS Software Solutions,On Campus," C# .Net Developer,Visual Studio,SQL and T-SQL 
       "
219,shyam texturisers private limited.,On Campus,Production supervisor
220,RevoKarmaHub,"On Campus
Pooled Campus
Through Cocube",Analyst
222,iroid Solution,On Campus,"Web Developer,- MySQL, MongoDB, SQLite, UI,- iOS Developer"
223,NNC Infotech (P) Limited.,On Campus,PHP or Wordpress Developer
224,Addon Solutions Pvt. Ltd,On Campus,"Ajax, jQuery, and MySQL,APIs, Unix/Linux, and MVC Framework Architecture,JavaScript, CSS, and HTML.
2. Wordpress Developer
3. iOS Developer
4. Web / graphic designer"
225,Zignuts Technolab Pvt. Ltd.,On Campus,"Javascript Developer - MEAN Stack, jquery,OOPs concepts and web programming
"
227,DGVCL,On Campus,Electrical
229,Neoyug Tech,On Campus,"HTML5, CSS and Javascript"
230,Durga Processors,On Campus,BE in TP AS a GET
231,Techno Samarthyam,On Capmpus,"Computer Vision & Deep Learning Engineer
OpenCV C++, OpenCV Python, Image Processing, Computer Vision, Deep Learning"
232,Elitetechnocrats,On Campus,"UI/UX, web programming, ASP.net"
234,arthisoft,On Campus,Graphic Designer
235,Bharat Bijlee,On Campus,Electrical Engineering 
236,"ELEGROW TECHNOLOGY, SURAT",On Campus,Design Engineer
237,Byju's,"Pooled Campus
SVNIT, Surat","Bussines development associate, sales,marketing"
239,"Kevin Scientific Instruments 
Surat",On Campus,Electronics and Communication / Instrumentation Control Fresher’s  Preferable & Chemical eng.
240,STAAH Hotel Software Pvt. Ltd.,On Campus," PHP, CGI , PERL, HTML5 , CSS3 , Jquery."
241,JAMES INFOTECH,On Campus," Computer Science 
 2) Information Technology"
245,Alltex Exim Pvt. Ltd,On Campus,"International Marketing Executive,YARNS"
247,Sahajanand Technologies,On Campus,"Electronics problem troubleshooting
Machine testing
Hardware Installation
Analysis of machine operation
Wiring activities"
248,Anubha Fabrics Pvt. Ltd,On Campus,"Fabric analysis and QA (Quality Assurance)

2. PPC (production planning & control) 

3. Technician/ Mechanical maintenance and trouble shooting for Waterjet looms "
249,TECHGIGS,On Campus," HTML5 / CSS3
-> PHP,JQuery,MySQL
->WordPress expert with Divi / Avada Theme Knowledge."
250,Efficienergi Consulting,"On Campus
Through Cocube",Jr. Engineer Product Development
251,Dirgh Diamond Pvt. Ltd.,On Campus,"SQL & PLSQL,asp .net and crystal reports,ORACLE"
252,Xunison Ltd.,On Campus,"App Development ( Java , Cross Platform React Native,Swift,Python , PHP,NoSQL, Mongodb, Oracle, Rethink DB,C, C++,Html)"
254,ThinkLoud Interactive & Animation,On Campus,"unior Unity Developer,Augmented Reality Mobile Applications"
255,Shriram Transport Finance Company Limited,"On Campus
Pooled Campus
LD College",Management Trainee
258,Axelor India,On Campus,Java Developers
259,Premier Looms Manufacturers Pvt. Ltd.,On Campus,"Textiles Looms (Weaving machines), i.e. Rapier Looms (Shuttle-less Looms) and Power Looms (Shuttle Looms)."
260,Saudagar Enterprise.,On Campus,Textile Designer
261,Asha's Hr Consultancy,On Campus,.Net 
262,AnTim Technologies LLP,On Campus,.Net Developer:
263,Waaree Energies Ltd.,On Campus,"Male,B.E./B Tech. (Electronics & Telecommunication, Electronics & Electrical, and Electronics & Instrumentation, Mechanical, Electrical, Instrumentation "
265,Hexaware,"On Campus
Through Cocube","Problem-Solving and Critical Thinking,JAVA,Python,C,C++,Javascript,Commuincation Trainee"
266,SRK Group,On Campus,OOPs
267,R Wadiwala,On Campus,".NET and MS SQL Server Database,C#, ASP.Net, Ajax, Java Script, Jquery, CSS, HTML,Devexpress, cordova and xcode"
268,JNJ Machines Pvt. Ltd,"On Campus
Pooled Campus",GET of Mechanical Stream
270,Nagin Mokani & Associates,On Campus,civil engineers.
271,Justdial Ltd,On Campus,"showing, promoting, and selling products or services."
272,ZS Associates,On Campus,Business Operations Associate 
274,HackerEarth,On Campus,"Data Analyst, MySQL,HTML5, JQuery, JavaScript, Ajax,Django web framework"
275,Flexpro Electricals Pvt. Ltd.,On Campus," Quality Engineer,B. Tech & M. Tech - Electrical Engineering;"
276,Bluemarble Professionals - Through GTU ITAP Cell,On Campus,Marketing Executive .Customer Service Executive (Female)
277,JRD Denims Limited,On Campus,"Textile Engg. Graduates,Spinning & Weaving Technology
,Textile Designing & Merchandising, Processing"
278,JUSPAY,"On Campus
Pooled Campus",Dev Developer
279,Epic Research – Through GTU ITAP Cell,On Campus, Associate Financial Consultant 
280,Prime Numbers Technologies,"On Campus
Off Campus
Pooled Campus",Business Development Associate
281,Capital First Limited,"On Campus
Pooled Campus","Operations Officer,Customer Service Officer,Credit Manager,Relationship Manager"
282,Knoxpo,On Campus,"1. Jr. Web developer
2. Jr. Mobile developer"
286,Tenacious Techies,On Campus,"PHP 
Android , ASP.net"
287,C.Dinesh Co. Pvt. Ltd,On Campus,"MySQL, MongoDB, SQLite, UI, ( I.O.S )"
288,Nish Automation,On Campus,"GET Electricals ,GET Instrumentation total 

GET Electronics & Communication"
289,Hodusoft Pvt Ltd (Through First Naukri),"On Campus
Pooled Campus",PHP/Javascript
291,"Keyence India Private Limited
(Through First Naukri)","On Campus
Pooled Campus",Sales Application Engineer
294,MoneyView,"Pooled Campus
Through Eltimus","Problem-Solving and Critical Thinking,JAVA,Python,C,C++,Javascript,Commuincation.data structures / OOPs / CS fundamentals / algorithms "
295,Jinaam Dresses (P) Ltd,On Campus, Electro-Mechanical
296,"Atidan, Mumbai","Pooled Campus
Marwadi University, Rajkot",Java & .Net 
299,IIT Bombay,On Campus,Soft Skills and Workplace Communication course from IIT Bombay Link
300,Asahi India Glass Ltd,On Campus,"Mechanical Engineering, Electrical Engineering (and related streams like Electronics, Instrumentation, etc)."
303,Trimantra Software Solution LLP,On Campus,"Asp.Net, PHP, WordPress, Laravel, SharePoint, Joomla and Facebook App Developments"
305,"WebConnect 
smart infosys",On Campus,website design and development
306,Megnor,On Campus,"PHP, MySQL, CSS, HTML, JavaScript, XML. Should have knowledge with WordPress, Magento, Opencart"
309,Hewlett Packard Enterprise India Pvt Ltd,"On Campus
Through Chandigarh University, Gharuan","hardware issues related to HPE servers, HPE storage and HPE networking for customers, onsite engineering personnel and Authorized Service Providers"
310,Zopper,"On Campus
Through Cocube",Sales Associate
312,OMAN LNG,On Campus,Instrument Technician
313,CALSOFT,"On Campus
Through MYANATOMY!","End-to-End Product Engineering, QA-as-a-Service, Professional Services, Solution Engineering"
315,Rishabh Software,"Pools Campus
Sigma College, Baroda","software development, engineering & recruitment process services, application development and Engineering services"
316,GreyOrange India Pvt Ltd,"On Campus
Through First Naukri","robotics systems for automation at warehouses, distribution and fulfillment centers. With deep domain expertise, world-class hardware and software engineering and the passion to solve complex business problems,"
317,Torrecid India PVT Ltd,On Campus,CHEMICAL ENGINEERS
318,Ixora,On Campus,"Pharma, Healthcare, Retail, BFSI, Manufacturing"
319,NIIT,"On Campus
Through First Naukri","Trainee Problem-Solving and Critical Thinking,JAVA,Python,C,C++,Javascript,Commuincation"
320,Leones Integration,On Campus,"Embedded Problem-Solving and Critical Thinking,JAVA,Python,C,C++,Javascript,Commuincation, Embedded Linux Engineer , Embedded Hardware Engineer / PCB Developer , Java / Android / Ajax, jQuery, and MySQL,APIs, Unix/Linux, and MVC Framework Architecture,JavaScript, CSS, and HTML., Graphics / UI Designer, Mechanical / Product Design Engineer, Business Development, Technical Vendor Development           "
321,Ashima Texcellence,On Campus,textile graduates for marketing and merchandising
322,Sthapati Designers & Consultants Pvt. Ltd,On Campus,"Design of Water supply, Sewerage, Storm Water Drainage projects of cities, villages, WTP/STP"
323,"Inkey Solutions, Surat",On Campus,"MS BI - SSAS, SSIS, SSRS, MS Dynamics CRM, MS Power BI, MS Sql Server"
325,"Park De Jaikras Web Technologies, Surat",On Campus,".Net Developer Skill: ASP.Net (3.5, 4.0), C#.Net, HTML, DHTML, HTML5, CSS, SQL server 2008, .NET Web Applications,Desktop application, Ajax, Java Script, Jquery"
326,"Picus Tech Software, Surat",On Campus,"Problem-Solving and Critical Thinking,JAVA,Python,C,C++,Javascript,Commuincation/ Embedded Engineer, Strong C/C++ and RTOS skills"
327,"MEMIGHTY,Surat",On Campus,"Ajax, jQuery, and MySQL,APIs, Unix/Linux, and MVC Framework Architecture,JavaScript, CSS, and HTML., MySQL, MongoDB, SQLite, UI,  iOS Developer , Junior Technical Engg, Embedded System Programmer"
331,NG TECHASSURANCE PVT. LTd.,On Campus,basic Networking knowledge and Linux Operating system
332,GHCL Ltd.,On Campus,"Learn to handle the Singeing /Mercerize machines, Independently manage the shifts."
333,Everestek Technosoft solutions Private Limited,On Campus,"JAVA , MySQL ,HTML5 , CSS3, Javascript, Jquery, responsive design, Angular JavaScript, NodeJs "
334,"Sankhala Info Solution , Surat",On Campus,"WordPress Trainee, PHP/MVC/MVVM Structure,  MySQL, HTML, CSS, Ajax, Jquery, Magento, Magento Stores, Magento Extensions, Digital Marketing Trainee"
335,"Eleiss , Surat",On Campus,"Jr. Ajax, jQuery, and MySQL,APIs, Unix/Linux, and MVC Framework Architecture,JavaScript, CSS, and HTML., Jr. Front End Developer,  Jr. Web Developer
"
336,Multiicon Ideotechnology Pvt. Ltd,On Campus,Marketing Executive
337,Arth InfoSoft Pvt Ltd,"On Campus
Through First Naukri","MySQL, MongoDB, SQLite, UI"
339,9series Solutions Pvt. Ltd,On Campus,software development (Web Portals & Mobile Apps)
340,"L & T Heavy Enginerring,  Hazira",On Campus,.Net (MVC) Preferable
341,JSPL Services,On Campus,"Business Development Executive, Technical Recruiter, Proposal Writer, Online Marketing Executive, Ajax, jQuery, and MySQL,APIs, Unix/Linux, and MVC Framework Architecture,JavaScript, CSS, and HTML."
343,"Kahuna systems, Pune",On Campus,"Problem-Solving and Critical Thinking,JAVA,Python,C,C++,Javascript,Commuincation - Cloud & Mobile Application"
344,Onfingers Technology,On Campus,"Desktop Application Developer, Web Developer, Web Designer, Mobile Application Developer"
345,SaneCraft Pvt. Ltd,On Campus,"Junior Developer, Basic Programming Knowledge of C, C++, OOPS, Data Structures and Core PHP. Laravel and MVC knowledge is pulse, HTML, CSS, JavaScript, Bootstrap, XML, Ajax and Database (MySQL)."
347,Real Interview,On Campus,"Java or Python, Web Architecture or Strong Android or Strong   iOS knowledge, Web Services or APIs"
348,VADRAJ Cement Ltd,On Campus,Technical Marketing- DEPARTMENT
349,20 Microns,On Campus,"Meeting Architects, Builders, Civil Engineers and Contractors to convenience them for Construction Chemicals, good communications / interpersonal skills &  well conversant in English & Hindi & With  a  positive attitude of  a  go-getter."
350,TechHive,"On Campus
Internship","JAVA, Android,  iOS, PHP, NodeJavaScript, QA Testing"
352,OOpals technologies,"On Campus
Internship","Education MCA Or BE, HTML & Basic oops concept,  Communication skill, "
353,KGK Diamonds India Pvt Ltd,On Campus,Management Trainee
354,Crest Infotech,On Campus,web design and development
356,Decathlon Sports India,On Campus,Sales Manager
358,Sanmar Group,On Campus,Engineering Stream :- Chemical
359,B&R Industrial Automation Pvt. Ltd,On Campus,Application Development / Modification
360,Global Super Elite,On Campus,marketing & business skills
365,National Instruments Internship,"On Campus
Internship","Problem-Solving and Critical Thinking,JAVA,Python,C,C++,Javascript,Commuincation"
366,ASANJO GROUP,On Campus,"Design Study, Preparation of Different parts from design, AS-Built drawings, Site visit for Measurement, Liaison with client, Preparation of Execution drawings, deriving cost estimate"
367,eInfochips,Pooled Campus,Software Programmers
369,Depronto,On Campus,Software Programmers
370,SCTC,On Campus,"DIGITAL MARKETING, CYBER SECURITY AND ETHICAL HACKING, ANDROID PROGRAMMING"
374,VC-ERP,On Campus,"SAP Functional Analyst -Materials Management, SAP Technical Analyst, SAP Functional Analyst, SAP Technical Analyst , Dot Net Developer, JAVA Developer, MySQL, MongoDB, SQLite, UI"
375,Thermax,On Campus,Graduate Apprentice Trainee
376,"Kusumgar Corporates Pvt. Ltd., Mumbai",On Campus,"Textile manufacturing, Textile Technology"
377,Web Xpress,On Campus,"Problem-Solving and Critical Thinking,JAVA,Python,C,C++,Javascript,Commuincation (.Net)"
379,"JRD Denims Ltd.,
Ankleshwar",On Campus,Textile Engineering / Technology / Chemistry..
380,"Bigscale Technology,Surat",On Campus,"Ruby on Rails (ROR), PHP, .NET, HTML/CSS. JavaScript. (MEAN Stack, Angular JavaScript, React)
, iOS, Android "
381,Peacock,On Campus,"Associate Problem-Solving and Critical Thinking,JAVA,Python,C,C++,Javascript,Commuincation, Object Oriented Programming."
383,IP CalCulus,On Campus,Patent Research Associate (Trainee)
384,"L & T, Hazira",On Campus,Developer (Programmer)
385,Essar,On Campus,"Artificial Intelligence,  Machine Learning
, Data Science
"
386,Seawind Solution Pvt Ltd.,On Campus,"Software Sales & Marketing, Business Development, Market Research"
387,MIDAS CARE PHARMACEUTICALS,On Campus,"Handling breakdown maintenance of all the machine, Planning the preventive maintenance of the machines based on their working performance, Preparing SOP for maintenance"
388,Potenza Global Solutions Pvt Ltd,On Campus,"PHP, .net, Android, Iphone"
389,Memighty Tech Inventions,On Campus,"PHP Intern , Android Intern , iOS Intern"
390,"Mercury Management & Technical Services Pvt. Ltd.,",On Campus,"analytical skills, 6 Sigma, Kaizen"
391,"Narola Infotech, Surat",On Campus,"PHP Trainees, Mobile Trainees - Android/iOS , Dot Net Trainees, Mobile Game Trainees , JAVA Trainees, Ruby on Rails Trainees, PyThon Trainees"
393,"Cloudester Software LLP, Vadodara",On Campus,"Junior Problem-Solving and Critical Thinking,JAVA,Python,C,C++,Javascript,Commuincation (Ruby on Rails Developer)"
395,Finlogic Technologies India Pvt. Ltd (NJ Group),On Campus,"Java Developer, Mobile Development (Android & iOS), DBA (Database Administrator),  "
397,Tecnics Integration,On Campus,Application support resources (Helpdesk Fresher positions) – Non Programmer role
398,"KGK, Surat.",On Campus,"Production, Operations & Maintenance, Excellent interpersonal, analytical, verbal and written communication skills"
399,"Sankhala Info Solutions,Surat",On Campus,"Ajax, jQuery, and MySQL,APIs, Unix/Linux, and MVC Framework Architecture,JavaScript, CSS, and HTML.s (Freshers)"
401,DeTect Technologies,On Campus,"business related activities of a single zone, Maintaining records of sales, revenue, invoices, candidate must have good presentation abilities as well as proficiency in Microsoft office tools, Understanding of Non Destructive Testing will be an added advantage. Mechanical Background will be added benefits."
402,National Infotech,On Campus,knowledge of Embedded System/Programming/Matlab will be given preference.
403,Solute Technolabs.,On Campus,"React JavaScript, Ruby on Rails, Flutter or any other technology"
404,Matrix ComSec,On Campus,"Associate Problem-Solving and Critical Thinking,JAVA,Python,C,C++,Javascript,Commuincation (Embedded, .Net, Application), Associate Engineer- Software Verification, Associate System Engineer, Associate Engineer-Mechanical Design, Associate Engineer- Hardware Design, Associate Engineer- Product Management, Associate Engineer- Technical Support"
405,Coruscate Solutions,On Campus,"Node.Js & React.Js , PHP (Laravel), Android and iPhone application development "
406,Internshala Big Championship,"On Campus
Through GTU","Web Development, Python, Digital Marketing"
407,Hodusoft Pvt. Ltd.,"On Campus
Walkin
29-06-2019","Jr. Ajax, jQuery, and MySQL,APIs, Unix/Linux, and MVC Framework Architecture,JavaScript, CSS, and HTML. , Presales Executive , Support Engineer "
408,Nilesh Enterprises,"Pooled Campus
Smt. Indira Gandhi College of Engineering, Ghansoli, Navi Mumbai!!!",Industrial sales 
409,SSM Infotech Solution Pvt Ltd,On Campus,"HTML/CSS. JavaScript. HTML/CSS. JavaScript. frameworks. Backend technologies. Databases and web storage.. Git/GitHub. HTTP and REST. ( .Net/SQL/MVC),.Net, C#, Java, OOPS, ASP.Net, MY SQL, MVC, VB.Net      
"
412,Mantra Softech (India) Pvt Ltd,"On Campus
Through GTU ITAP Cell",Product Designing
413,Qodors Technologies Private Limited,On Campus,"Web Programming,App development, IOT App development"
414,Unique Textiles,On Campus,"Textile Production Engineer,B.E/ B.Tech (Textiles)

"
415,CIVICA,On Campus,Jr. Software Engg / Jr. Test Analyst / Jr. Infrastructure Engg.
416,Eleiss,On Campus,Marketing Exceutive
417,9spl,On Campus," Blockchain, AR/VR, IoT, Chat Bots, Big Data, Open Source, Microsoft and Mobile."
418,Aimil Ltd.,On Campus,"B.Tech [Instrumentation] ,Male"
419,K.Daniels Projects (I) Pvt. Ltd,On Campus,Electronics / Instrumentation Engineers 
424,ASK-EHS Engineering & Consultants Pvt Ltd,On Campus,"Problem-Solving and Critical Thinking,JAVA,Python,C,C++,Javascript,Commuincation
Microsoft Web, SQL & Azure 
"
426,Shiva Engineering,On Campus,"Chemical Engineering, Marketing Exceutive"
428,Opal Marketing Solutions,On Campus,Calling Agent
432,Finlogic Technologies India Pvt Ltd,On Campus,"Java Developer, HTML, Core JAVA, J2EE-Servlet & JavaScriptP, JDBC, Hibernate, Spring MVC Framework , RDBMS (Oracle/Mysql) & DB Objects."
433,HomeLane,"On Campus
Through Whatsapp",Customer Relationship Executive
438,Sahajanand Technologies Pvt Ltd,On Campus,"Knowledge of Database

·         Image Processing

·         Ajax, jQuery, and MySQL,APIs, Unix/Linux, and MVC Framework Architecture,JavaScript, CSS, and HTML.

·         MySQL, MongoDB, SQLite, UI"
440,Neoyug,On Campus,"JavaScript, jQuery, HTML, HTML5, CSS, CSS3, Web Programming Skills,  UI Interface, API Integration, Object-Oriented Design, Programming Skill, TeamWork, Cross-Mobile Compatibility  "
442,Softcare Solutions,On Campus,"Problem-Solving and Critical Thinking,JAVA,Python,C,C++,Javascript,Commuincation."
447,Coder Crew,On Campus,"iOS Developer • MySQL, MongoDB, SQLite, UI • Ajax, jQuery, and MySQL,APIs, Unix/Linux, and MVC Framework Architecture,JavaScript, CSS, and HTML. "
448,Kinsfolk Group,On Campus,"B.E. Civil Engineer,"
449,Axtel Industries Limited,On Campus,"B.E. Chemical Engineer,"
451,Hope Foundation,On Campus, computer teachers
452,Third Rock Techkno,On Campus,"Angular
- Node
- Machine Learning/ Artificial Intelligence
- Flutter
- iOS Developer
- MySQL, MongoDB, SQLite, UI"
457,Bigscal,On Campus,"React Native,PHP,Asp.net,Andriod,ios,ruby on rails,Unity 3D"
458,Estro,On Campus,BE Architecture
467,Full Stack Technology,On Campus,"C, C++, JAVA, SQL, HTML."
470,SANKEY SOLUTIONS,"Pooled Campus
VIVA College, Mumbai","Problem-Solving and Critical Thinking,JAVA,Python,C,C++,Javascript,Commuincation"
473,Jekson Vision Pvt Ltd,"Pooled Campus 
SAL College ahmedabad","Java / C++ / Image Processing / QA"
477,Spectrum Solutions & Technologies Pvt. Ltd,On Campus," OOPs programming methods, Modular software design,Microsoft Visual Studio, Microsoft SQL Server, Crystal reports"
478,SoftTech Engineers Ltd.,On Campus," Problem-Solving and Critical Thinking,JAVA,Python,C,C++,Javascript,Commuincation, C, C++
"
479,BosLeo,On Campus,"Android , iOS , PHP, Java, Web Designing, System Administrator (Linux, Python)"
480,iRoid,On Campus,"Web app developers (node.js, php, angular.js, etc)
 Android app developers
iPhone app developers
Blockchain developer
React Native developer"
481,Tavisca,"On Campus
Through MyAnatomy","C, JAVA, C#, PYTHON, PERL, RUBY,OOPs, Data Structures and Advance DS,SDLC & Database."
486,Yokogawa India Ltd.,On Campus,BE /B tech Electronic & Instrumentation 
487,AXIS ENGINEERING,"On Campus
Through GTU Placement Cell
","Technical support Engineer, Sales Engineer ,AutoCAD Engineer, Design Engineer, Project Engineer, Product Engineer, Fabrication Engineer, Production Engineer, Quality Control Engineer. Research & Development Engineer "
488,WhiteOrange software,On Campus,"PHP
ANDROID
IOS
GRAPHIC DESIGNER
Web designer (HTML/CSS)"
489,KA Group of Companies,On Campus,"C SQL, JavaScript/DHTML, HTML-CSS, AJAX, jQuery, Web Services, .NET technologies including, ASP.NET, MVC, Entity Framework"
490,Amazon Development Centre (India) Pvt. Ltd.,"On Campus
Through Co-cube","Software Development Engineer,Algorithms, Data Structures, Object Oriented Design, Databases,C/C++/Java in a Linux environment."
493,InfyOm Technologies,On Campus,"MySQL, MongoDB, SQLite, UI,Android SDK
Understanding of XML and Layouts
Android Studio
APIs
Database
Material Design
"
494,TheCodeCrafters,On Campus,Mobile Application Developer(React Native)
499,Uffizion India Software Consultants Pvt. Ltd,On Campus,"Java, JavaScriptP Servlet & basic knowledge of JQuery & Java script & Restful Web services.Swift-4, MK-MAPKIT, Core Data, Third party library integration.Bootstrap,Angular, HTML 5.0, CSS-SASS LESS"
500,Paul Shantanu Engineering,On Campus,Electrical or Mechanical
503,Taxosmart Technology,On Campus,"object-oriented programming language,SaaS, PaaS, IaaS tools with hands-on experience with public cloud offerings (AWS, GAE, Azure),JAVA,SPRING MVC , JDBC, HIBERNATE,  ANGULARJavaScript, RESTful Webservice,Cyber Security and Hacking,Machine Learning."
506,Kmphasis Infotech,On Campus,"Android Application Developer, iOS Application Developer,  Unity Game Developer, Game Designer, PHP developer, Unity Game Developer, Front-end Designer"
509,Bharja Technologies,On Campus,"Android SDK, Swift, Objective C, Java, REST, OOP, PHP, Python"
513,Akoni Software,On Campus ," React.js ,ECMAScript ,RESTful APIs,JavaScript, including DOM manipulation and the JavaScript object model ,JavaScriptON Web Token"
515,Varni IT Solutions,On Campus,"iOS Developer 
2) MySQL, MongoDB, SQLite, UI
3) Php Developer
4) UI Designer"
516,JACK SOLUTIONS,On Campus,"1. React Native Developer,  (On Urgent basics)
2. Mean Stack Developer (AngularJs, NodeJs, Express, MongoDB), 
3. IONIC Developer
HTML5/CSS3/jQuery, Object Oriented Programming knowledge, strong Javascript knowledge, (optional knowledge of Mongodb, Angularjs, Express, Nodejs "
517,Blueinfy Solutions,On Campus,"networking and HTTP protocol,Knowledge of programming language and web technologies"
521,Eckovation,On Campus,"HTML/CSS. JavaScript. HTML/CSS. JavaScript. frameworks. Backend technologies. Databases and web storage.. Git/GitHub. HTTP and REST.       
"
525,STPL,On Campus,B.E Electrical
526,MVIX India,On Campus,"For JAVA Developer 
For Software Tester 
For Developer PHP "
531,Salesforce Consultant,On Campus,"Webservices API's REST or SOAP methods,authentication, authorization, encryption), SSL, web service proxies, SAML 2.0, OpenId Connect, OAuth 2.0),JavaScript, jQuery, HTML5, CSS3, SASS, Angular 2.0+, JavaScriptON, REST, NPM , Java, J2EE, C#, PHP (Anyone) and.Net/Java platforms    "
534,Webonise Lab,On Campus,"problem/logical thinking, C & CPP and good with Data structure and algorithm,OOPs & Database,Javascript, Payment gateway & API"
536,Vasudev Power Pvt. Ltd,On Campus,Electrical
539,Ideastycoon Manpower Solutions,On Campus,"Web Designer, Content Writer, Graphic Design, Counselor, Telecaller, Receptionist, EA, Junior Accountant.Admin,Graphic Desiner and Sketch Artist , Social Media Executive."
540,RCK Enterprise Pvt. Ltd.,On Campus,"Web Developer,avaScript, HTML, HTML5, CSS3, JQuery, PHP,
Ajax.PHP programming,database structure, design optimization, and maintenance in MySQL, UI/UX skills"
546,Siya Soft,On Campus,"PHP, JavaScript, MySQL and AJAX, Laravel frame work, cloud platform, Cloud messaging."
548,Tech Gigs,On Campus,"PHP back-end development,HTML5, CSS3, JavaScript, jQuery,JavaScriptON, XML"
550,MRF,On Campus, B. Tech Textile engineering
551,binary brew,On Campus,"Front end Engineer 
 Problem-Solving and Critical Thinking,JAVA,Python,C,C++,Javascript,Commuincation
Data Engineer"
552,Gujarat Alkalies & Chemicals Ltd.,On Campus,"Enviromental ,Instument and Control"
555,HCL Technologies Limited,"Pooled Campus
IITRAM Ahmedabad",C/ Java/ Data Structures/ OS
563,Tecocraft Infusion Pvt Ltd,On Campus,"MySQL, MongoDB, SQLite, UI,IOS developer,PHP developer"
564,ExcelaCom Technologies Pvt Ltd,"Pooled Campus
Through Firstnaukri","Problem-Solving and Critical Thinking,JAVA,Python,C,C++,Javascript,Commuincation"
565,Unikwork,On Campus,"MySQL, MongoDB, SQLite, UI,IOS developer,PHP developer,C ,C++
Database: SQLite,Java,MySQL"
566,Browseinfo.,"On Campus
Through GTU ITAP Cell",Python
567,"Brighten Solutions,",On Campus,"MySQL, MongoDB, SQLite, UI,PHP developer"
568,"XcelTec Interactive Private Limited,",On Campus,"Mean Stack Developers
Ajax, jQuery, and MySQL,APIs, Unix/Linux, and MVC Framework Architecture,JavaScript, CSS, and HTML.s
DotNet Developer
Mobile App Developer
swift,Xcode,UI/UXs
MySQL, MongoDB, SQLite, UIs
Hybrid Application Developers
Angular6 Developer
NodeJs Developers"
570,LiveHealth Pune,On Campus ,"Problem-Solving and Critical Thinking,JAVA,Python,C,C++,Javascript,Commuincation"
571,Key Concepts,On Campus,"Graphic Designer
* Web Designer
* SMO Executive
*.NET Developer
* MVC Developer
* Angular Developer
* TelleCaller (Support Executive/ English is mandatory)
* Front Desk Executive"
573,Nouveau Lab,"Pooled Campus
Freshers world","Artificial Intelligence & Multimedia Analytics (Areas of Work: Voice, Text, Video, Image Analytics, Natural Language Processing, Machine Learning, Artificial Intelligence, Computer Vision,Automation and Robotics (Areas of Work: Python, Selenium, Numerically Controlled Systems, Microprocessors, Integrated systems, and Logic,Web Applications & Infrastructure (Areas of Work: GoLang, JavaScript, HTML5/CSS, Ajax, Java/JavaScriptP"
574,Econstruct Design and Build Pvt Ltd,On Campus, Civil / Structural Engineers
575,Ideastycoon,On Campus,".Net Developer,C# developer"
576,SSM InfoTech Solutions Pvt. Ltd,On Campus,.Net/SQL
579,"Prafful Overseas Pvt. Ltd.,",On Campus,Instrumentation and Control
583,Scanpoint Geomatics Ltd,"On Campus
Through GTU ITAP Cell","Problem-Solving and Critical Thinking,JAVA,Python,C,C++,Javascript,Commuincation,C++, Objective C & OOPS Concept,Data Structure,software development life cycle "
585,KPIT,Pooled Campus,Mechanical and Electrical
587,3Sixty,On Campus,"Problem-Solving and Critical Thinking,JAVA,Python,C,C++,Javascript,Commuincation"
588,Mindtree,"Pooled Campus
Through Aspering Mind","Problem-Solving and Critical Thinking,JAVA,Python,C,C++,Javascript,Commuincation"
589,EnactOn Technologies,On Campus,"PHP Laravel Developers
WordPress Developers
React Native Developers
UI / UX Designer & Developers"
590,Planet X Technologies,On Campus,"HTML 5, CSS 3, jQuery , PHP"
591,Logic Matter,"Pooled Campus
Throug Costuco"," SQL Programmer, MySQL/MS-SQL"
592,Techno Endeavours,"Pooled Campus
Throug Costuco","Problem-Solving and Critical Thinking,JAVA,Python,C,C++,Javascript,Commuincation (Angular)"
593,MAQ Software,"Pooled Campus
Throug Costuco","Problem-Solving and Critical Thinking,JAVA,Python,C,C++,Javascript,CommuincationMicrosoft SQL Server, SQL Server BI tools, Power BI, Microsoft Azure,SharePoint Online, and C#"
594,Intellicrats,"Pooled Campus
Throug Costuco", CAD Engineer
595,Vasudhaika,"Pooled Campus
Throug Costuco",Software Design Engineer
